,Drug,Gene1,Phenotype1,Gene2,Phenotype2,Recommendation
132,isoflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Uncertain Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
133,isoflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,None
134,isoflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,None,None
135,isoflurane,CACNA1S,None,RYR1,Uncertain Susceptibility,None
136,isoflurane,CACNA1S,None,RYR1,Malignant Hyperthermia Susceptibility,None
137,isoflurane,CACNA1S,None,RYR1,None,None
138,methoxyflurane,CACNA1S,Uncertain Susceptibility,RYR1,Uncertain Susceptibility,"Clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants."
139,methoxyflurane,CACNA1S,Uncertain Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
140,methoxyflurane,CACNA1S,Uncertain Susceptibility,RYR1,None,None
141,methoxyflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Uncertain Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
142,methoxyflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,None
143,methoxyflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,None,None
144,methoxyflurane,CACNA1S,None,RYR1,Uncertain Susceptibility,None
145,methoxyflurane,CACNA1S,None,RYR1,Malignant Hyperthermia Susceptibility,None
146,methoxyflurane,CACNA1S,None,RYR1,None,None
147,sevoflurane,CACNA1S,Uncertain Susceptibility,RYR1,Uncertain Susceptibility,"Clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants."
148,sevoflurane,CACNA1S,Uncertain Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
149,sevoflurane,CACNA1S,Uncertain Susceptibility,RYR1,None,None
150,sevoflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Uncertain Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
151,sevoflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,None
152,sevoflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,None,None
153,sevoflurane,CACNA1S,None,RYR1,Uncertain Susceptibility,None
154,sevoflurane,CACNA1S,None,RYR1,Malignant Hyperthermia Susceptibility,None
155,sevoflurane,CACNA1S,None,RYR1,None,None
156,succinylcholine,CACNA1S,Uncertain Susceptibility,RYR1,Uncertain Susceptibility,"Clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants."
157,succinylcholine,CACNA1S,Uncertain Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
158,succinylcholine,CACNA1S,Uncertain Susceptibility,RYR1,None,None
159,succinylcholine,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Uncertain Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
160,succinylcholine,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,None
161,succinylcholine,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,None,None
162,succinylcholine,CACNA1S,None,RYR1,Uncertain Susceptibility,None
163,succinylcholine,CACNA1S,None,RYR1,Malignant Hyperthermia Susceptibility,None
164,succinylcholine,CACNA1S,None,RYR1,None,None
165,ivacaftor,CFTR,Favorable Response,None,None,Use ivacaftor according to the product label.
166,ivacaftor,CFTR,Unfavorable Response,None,None,Ivacaftor is not recommended.
167,ivacaftor,CFTR,Indeterminate,None,None,None
168,citalopram,CYP2C19,Ultrarapid Metabolizer,None,None,Consider an alternative drug not predominantly metabolized by CYP2C19.
169,citalopram,CYP2C19,Rapid Metabolizer,None,None,Consider an alternative drug not predominantly metabolized by CYP2C19.
170,citalopram,CYP2C19,Normal Metabolizer,None,None,Initiate therapy with recommended starting dose.
171,citalopram,CYP2C19,Likely Intermediate Metabolizer,None,None,Initiate therapy with recommended starting dose.
172,citalopram,CYP2C19,Intermediate Metabolizer,None,None,Initiate therapy with recommended starting dose.
173,citalopram,CYP2C19,Likely Poor Metabolizer,None,None,Consider a 50% reduction of recommended starting dose and titrate to response or select alternative drug not predominantly metabolized by CYP2C19.
174,citalopram,CYP2C19,Poor Metabolizer,None,None,Consider a 50% reduction of recommended starting dose and titrate to response or select alternative drug not predominantly metabolized by CYP2C19.
175,citalopram,CYP2C19,Indeterminate,None,None,None
176,escitalopram,CYP2C19,Ultrarapid Metabolizer,None,None,Consider an alternative drug not predominantly metabolized by CYP2C19.
177,escitalopram,CYP2C19,Rapid Metabolizer,None,None,Consider an alternative drug not predominantly metabolized by CYP2C19.
178,escitalopram,CYP2C19,Normal Metabolizer,None,None,Initiate therapy with recommended starting dose.
179,escitalopram,CYP2C19,Likely Intermediate Metabolizer,None,None,Initiate therapy with recommended starting dose.
180,escitalopram,CYP2C19,Intermediate Metabolizer,None,None,Initiate therapy with recommended starting dose.
181,escitalopram,CYP2C19,Likely Poor Metabolizer,None,None,Consider a 50% reduction of recommended starting dose and titrate to response or select alternative drug not predominantly metabolized by CYP2C19.
182,escitalopram,CYP2C19,Poor Metabolizer,None,None,Consider a 50% reduction of recommended starting dose and titrate to response or select alternative drug not predominantly metabolized by CYP2C19.
183,escitalopram,CYP2C19,Indeterminate,None,None,None
184,clopidogrel,CYP2C19,Ultrarapid Metabolizer,None,None,"If considering clopidogrel, use at standard dose (75 mg/day)."
185,clopidogrel,CYP2C19,Rapid Metabolizer,None,None,"If considering clopidogrel, use at standard dose (75 mg/day)."
186,clopidogrel,CYP2C19,Normal Metabolizer,None,None,"If considering clopidogrel, use at standard dose (75 mg/day)."
187,clopidogrel,CYP2C19,Likely Intermediate Metabolizer,None,None,Avoid standard dose clopidogrel (75 mg) if possible. Use prasugrel or ticagrelor at standard dose if no contraindication.
188,clopidogrel,CYP2C19,Intermediate Metabolizer,None,None,Avoid standard dose (75 mg) clopidogrel if possible. Use prasugrel or ticagrelor at standard dose if no contraindication.
189,clopidogrel,CYP2C19,Likely Poor Metabolizer,None,None,Avoid standard dose (75 mg/day) clopidogrel if possible. Use prasugrel or ticagrelor at standard dose if no contraindication.
190,clopidogrel,CYP2C19,Poor Metabolizer,None,None,Avoid standard dose (75 mg/day) clopidogrel if possible. Use prasugrel or ticagrelor at standard dose if no contraindication.
191,clopidogrel,CYP2C19,Indeterminate,None,None,None
192,voriconazole,CYP2C19,Ultrarapid Metabolizer,None,None,"Choose an alternative agent that is not dependent on CYP2C19 metabolism as primary therapy in lieu of voriconazole. Such agents include isavuconazole, liposomal amphotericin B, and posaconazole."
193,voriconazole,CYP2C19,Rapid Metabolizer,None,None,"Choose an alternative agent that is not dependent on CYP2C19 metabolism as primary therapy in lieu of voriconazole. Such agents include isavuconazole, liposomal amphotericin B, and posaconazole."
194,voriconazole,CYP2C19,Normal Metabolizer,None,None,Initiate therapy with recommended standard of care dosing.
195,voriconazole,CYP2C19,Likely Intermediate Metabolizer,None,None,Initiate therapy with recommended standard of care dosing.
196,voriconazole,CYP2C19,Intermediate Metabolizer,None,None,Initiate therapy with recommended standard of care dosing.
197,voriconazole,CYP2C19,Likely Poor Metabolizer,None,None,"Choose an alternative agent that is not dependent on CYP2C19 metabolism as primary therapy in lieu of voriconazole. Such agents include isavuconazole, liposomal amphotericin B, and posaconazole. In the event that voriconazole is considered to be the most appropriate agent, based on clinical advice, for a patient with poor metabolizer genotype, voriconazole should be administered at a preferably lower than standard dosage with careful therapeutic drug monitoring."
198,voriconazole,CYP2C19,Poor Metabolizer,None,None,"Choose an alternative agent that is not dependent on CYP2C19 metabolism as primary therapy in lieu of voriconazole. Such agents include isavuconazole, liposomal amphotericin B, and posaconazole. In the event that voriconazole is considered to be the most appropriate agent, based on clinical advice, for a patient with poor metabolizer genotype, voriconazole should be administered at a preferably lower than standard dosage with careful therapeutic drug monitoring."
199,voriconazole,CYP2C19,Indeterminate,None,None,None
200,sertraline,CYP2C19,Ultrarapid Metabolizer,None,None,"Initiate therapy with recommended starting dose. If patient does not respond to recommended maintenance dosing, consider alternative drug not predominantly metabolized by CYP2C19."
